epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
196,3294.59,0.84053,0.48336,1.04776,0.96694,0.97699,0.99145,0.80854,0.72226,0.42308,0.90296,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
197,3326.1,0.83787,0.48113,1.04133,0.96763,0.97878,0.99156,0.80884,0.72171,0.4221,0.90266,0.010596,0.003532,0.010596,0.003532,0.010596,0.003532,0.010596,0.003532
198,3357.42,0.83922,0.482,1.04656,0.96798,0.97839,0.99155,0.81123,0.71676,0.42054,0.90072,0.010497,0.003499,0.010497,0.003499,0.010497,0.003499,0.010497,0.003499
199,3388.67,0.83686,0.47866,1.04063,0.97183,0.97672,0.99172,0.81163,0.71462,0.41988,0.90048,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
200,3420.02,0.83751,0.48113,1.04415,0.96594,0.98318,0.99184,0.81068,0.7154,0.42055,0.90045,0.010299,0.003433,0.010299,0.003433,0.010299,0.003433,0.010299,0.003433
201,3451.2,0.83269,0.48101,1.04515,0.96968,0.97683,0.99164,0.80918,0.71584,0.42354,0.90008,0.0102,0.0034,0.0102,0.0034,0.0102,0.0034,0.0102,0.0034
202,3482.47,0.8303,0.47917,1.04075,0.96212,0.97951,0.99071,0.80943,0.7092,0.42859,0.89728,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
203,3513.8,0.83592,0.48057,1.04238,0.96032,0.9815,0.99039,0.8095,0.70868,0.42985,0.89808,0.010002,0.003334,0.010002,0.003334,0.010002,0.003334,0.010002,0.003334
204,3545.07,0.83519,0.48027,1.04186,0.96028,0.98171,0.98999,0.81087,0.70896,0.43185,0.89774,0.009903,0.003301,0.009903,0.003301,0.009903,0.003301,0.009903,0.003301
205,3576.42,0.82913,0.4747,1.04004,0.96002,0.98409,0.99099,0.81217,0.71069,0.43052,0.89915,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
206,3607.5,0.82608,0.47524,1.03836,0.96942,0.9758,0.99098,0.81026,0.71232,0.427,0.89925,0.009705,0.003235,0.009705,0.003235,0.009705,0.003235,0.009705,0.003235
207,3638.87,0.828,0.47759,1.03987,0.96316,0.98047,0.99086,0.8106,0.71414,0.42832,0.89925,0.009606,0.003202,0.009606,0.003202,0.009606,0.003202,0.009606,0.003202
208,3670.4,0.82396,0.47185,1.03561,0.96165,0.98178,0.99087,0.80964,0.71372,0.42601,0.89807,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
209,3701.71,0.82713,0.4743,1.03868,0.9594,0.98214,0.99074,0.81066,0.71464,0.42658,0.89871,0.009408,0.003136,0.009408,0.003136,0.009408,0.003136,0.009408,0.003136
